encoder,alpha_pass,review_rate,miss_rate
CLIP-ViT-B/32,0.7,5.92,0.0
CLIP-ViT-B/32,0.72,5.92,0.0
CLIP-ViT-B/32,0.74,6.23,0.0
CLIP-ViT-B/32,0.76,6.23,0.0
CLIP-ViT-B/32,0.78,6.54,0.0
CLIP-ViT-B/32,0.8,6.85,0.0
CLIP-ViT-B/32,0.82,7.48,0.0
CLIP-ViT-B/32,0.84,8.1,0.0
CLIP-ViT-B/32,0.86,9.66,0.0
CLIP-ViT-B/32,0.88,15.58,0.0
CLIP-ViT-B/32,0.9,25.86,0.0
CLIP-ViT-B/32,0.92,39.88,0.0
CLIP-ViT-B/32,0.94,62.31,0.0
SigLIP2-NaFlex-B/16,0.7,4.98,8.33
SigLIP2-NaFlex-B/16,0.72,4.98,8.33
SigLIP2-NaFlex-B/16,0.74,5.3,8.33
SigLIP2-NaFlex-B/16,0.76,5.92,8.33
SigLIP2-NaFlex-B/16,0.78,5.92,8.33
SigLIP2-NaFlex-B/16,0.8,6.85,8.33
SigLIP2-NaFlex-B/16,0.82,6.85,8.33
SigLIP2-NaFlex-B/16,0.84,8.1,8.33
SigLIP2-NaFlex-B/16,0.86,9.35,8.33
SigLIP2-NaFlex-B/16,0.88,15.26,8.33
SigLIP2-NaFlex-B/16,0.9,30.53,0.0
SigLIP2-NaFlex-B/16,0.92,58.57,0.0
SigLIP2-NaFlex-B/16,0.94,86.29,0.0
ViT-Tiny(自训),0.7,5.92,33.33
ViT-Tiny(自训),0.72,5.92,33.33
ViT-Tiny(自训),0.74,5.92,33.33
ViT-Tiny(自训),0.76,5.92,33.33
ViT-Tiny(自训),0.78,6.54,25.0
ViT-Tiny(自训),0.8,6.54,25.0
ViT-Tiny(自训),0.82,6.54,25.0
ViT-Tiny(自训),0.84,7.79,16.67
ViT-Tiny(自训),0.86,9.35,16.67
ViT-Tiny(自训),0.88,9.97,16.67
ViT-Tiny(自训),0.9,15.26,8.33
ViT-Tiny(自训),0.92,30.84,0.0
ViT-Tiny(自训),0.94,75.7,0.0
