floor,val_review_rate,val_miss,test_review_rate,test_pass_rate,test_miss,zero_miss
0.30,8.20,0,6.23,93.77,1,0
0.31,8.20,0,5.92,94.08,1,0
0.32,8.20,0,6.23,93.77,1,0
0.33,6.94,0,6.54,93.46,1,0
0.34,7.26,0,6.85,93.15,1,0
0.35,7.26,0,6.85,93.15,1,0
0.36,7.26,0,6.85,93.15,1,0
0.37,8.20,0,7.17,92.83,1,0
0.38,8.20,0,7.17,92.83,1,0
0.39,8.20,0,7.48,92.52,0,1
0.40,8.20,0,7.48,92.52,0,1
0.41,8.20,0,7.48,92.52,0,1
0.42,8.20,0,7.79,92.21,0,1
0.43,8.20,0,8.10,91.90,0,1
0.44,8.20,0,8.41,91.59,0,1
0.45,8.20,0,9.03,90.97,0,1
0.46,8.20,0,9.35,90.65,0,1
0.47,8.20,0,9.66,90.34,0,1
0.48,8.20,0,9.97,90.03,0,1
0.49,8.20,0,9.97,90.03,0,1
0.50,8.20,0,10.28,89.72,0,1
0.51,8.20,0,10.59,89.41,0,1
0.52,8.83,0,10.59,89.41,0,1
0.53,8.83,0,11.21,88.79,0,1
0.54,8.83,0,11.21,88.79,0,1
0.55,9.78,0,12.15,87.85,0,1
