【4参数组合效果表】
==============================================================================================================
 T_CLS  T_FEAT FT_READ FT_RUN |    漏检%    通过%    审核% |    晨读%    晨跑%     差异
--------------------------------------------------------------------------------------------------------------
  3.00    2.00    0.66   0.64 |    0.0   10.1   89.9 |   98.6   98.5    0.1
  4.00    2.00    0.66   0.64 |    0.0   10.1   89.9 |   98.6   98.5    0.1
  5.00    2.00    0.66   0.64 |    0.0   10.1   89.9 |   98.6   98.5    0.1
  6.00    2.00    0.66   0.64 |    0.0    9.9   90.1 |   98.6   98.5    0.1
  7.00    2.00    0.66   0.64 |    0.0    9.2   90.8 |   98.6   98.5    0.1
  3.00    2.20    0.64   0.64 |    0.0   37.0   63.0 |   99.6  100.0    0.4
  4.00    2.20    0.64   0.64 |    0.0   37.0   63.0 |   99.6  100.0    0.4
  5.00    2.20    0.64   0.64 |    0.0   36.8   63.2 |   99.6  100.0    0.4
  6.00    2.20    0.64   0.64 |    0.0   36.2   63.8 |   99.6  100.0    0.4
  7.00    2.20    0.64   0.64 |    0.0   35.1   64.9 |   99.6  100.0    0.4
  3.00    2.20    0.62   0.62 |    0.0   77.8   22.2 |   99.4   98.9    0.5
  4.00    2.20    0.62   0.62 |    0.0   77.8   22.2 |   99.4   98.9    0.5
  5.00    2.20    0.62   0.62 |    0.0   77.2   22.8 |   99.4   98.9    0.5
  6.00    2.20    0.62   0.62 |    0.0   75.7   24.3 |   99.4   98.9    0.5
  7.00    2.20    0.62   0.62 |    0.0   72.2   27.8 |   99.4   98.9    0.5
  3.00    2.20    0.62   0.64 |    0.0   71.0   29.0 |   99.4  100.0    0.6
  4.00    2.20    0.62   0.64 |    0.0   71.0   29.0 |   99.4  100.0    0.6
  5.00    2.20    0.62   0.64 |    0.0   70.3   29.7 |   99.4  100.0    0.6
  6.00    2.20    0.62   0.64 |    0.0   68.9   31.1 |   99.4  100.0    0.6
  7.00    2.20    0.62   0.64 |    0.0   65.9   34.1 |   99.4  100.0    0.6
  3.00    2.20    0.64   0.62 |    0.0   43.9   56.1 |   99.6   98.9    0.7
  4.00    2.20    0.64   0.62 |    0.0   43.9   56.1 |   99.6   98.9    0.7
  5.00    2.20    0.64   0.62 |    0.0   43.7   56.3 |   99.6   98.9    0.7
  6.00    2.20    0.64   0.62 |    0.0   43.0   57.0 |   99.6   98.9    0.7
  7.00    2.20    0.64   0.62 |    0.0   41.4   58.6 |   99.6   98.9    0.7
  3.00    2.00    0.62   0.64 |    0.0   76.5   23.5 |   99.2   98.5    0.7
  4.00    2.00    0.62   0.64 |    0.0   76.5   23.5 |   99.2   98.5    0.7
  5.00    2.00    0.62   0.64 |    0.0   75.7   24.3 |   99.2   98.5    0.7
  6.00    2.00    0.62   0.64 |    0.0   74.3   25.7 |   99.2   98.5    0.7
  7.00    2.00    0.62   0.64 |    0.0   70.8   29.2 |   99.2   98.5    0.7
  3.00    1.80    0.62   0.64 |    0.0   80.2   19.8 |   99.0   98.0    1.0
  4.00    1.80    0.62   0.64 |    0.0   80.2   19.8 |   99.0   98.0    1.0
  5.00    1.80    0.62   0.64 |    0.0   79.4   20.6 |   99.0   98.0    1.0
  6.00    1.80    0.62   0.64 |    0.0   78.0   22.0 |   99.0   98.0    1.0
  7.00    1.80    0.62   0.64 |    0.0   74.3   25.7 |   99.0   98.0    1.0
  3.00    2.00    0.64   0.64 |    0.0   72.8   27.2 |   99.6   98.5    1.1
  4.00    2.00    0.64   0.64 |    0.0   72.8   27.2 |   99.6   98.5    1.1
  5.00    2.00    0.64   0.64 |    0.0   72.3   27.7 |   99.6   98.5    1.1
  6.00    2.00    0.64   0.64 |    0.0   71.0   29.0 |   99.6   98.5    1.1
  7.00    2.00    0.64   0.64 |    0.0   67.8   32.2 |   99.6   98.5    1.1
  3.00    1.80    0.64   0.64 |    0.0   79.2   20.8 |   99.3   98.0    1.3
  4.00    1.80    0.64   0.64 |    0.0   79.2   20.8 |   99.3   98.0    1.3
  5.00    1.80    0.64   0.64 |    0.0   78.5   21.5 |   99.3   98.0    1.3
  6.00    1.80    0.64   0.64 |    0.0   77.1   22.9 |   99.3   98.0    1.3
  7.00    1.80    0.64   0.64 |    0.0   73.5   26.5 |   99.3   98.0    1.3
  3.00    1.80    0.66   0.64 |    0.0   72.8   27.2 |   99.7   98.0    1.7
  4.00    1.80    0.66   0.64 |    0.0   72.8   27.2 |   99.7   98.0    1.7
  5.00    1.80    0.66   0.64 |    0.0   72.4   27.6 |   99.7   98.0    1.7
  6.00    1.80    0.66   0.64 |    0.0   71.3   28.7 |   99.7   98.0    1.7
  7.00    1.80    0.66   0.64 |    0.0   68.3   31.7 |   99.7   98.0    1.7
  3.00    2.00    0.66   0.62 |    0.0   14.1   85.9 |   98.6   96.8    1.8
  4.00    2.00    0.66   0.62 |    0.0   14.1   85.9 |   98.6   96.8    1.8
  5.00    2.00    0.66   0.62 |    0.0   14.1   85.9 |   98.6   96.8    1.8
  6.00    2.00    0.66   0.62 |    0.0   13.9   86.1 |   98.6   96.8    1.8
  7.00    2.00    0.66   0.62 |    0.0   13.0   87.0 |   98.6   96.8    1.8
  3.00    1.80    0.68   0.64 |    0.0   10.2   89.8 |  100.0   98.0    2.0
  4.00    1.80    0.68   0.64 |    0.0   10.2   89.8 |  100.0   98.0    2.0
  5.00    1.80    0.68   0.64 |    0.0   10.2   89.8 |  100.0   98.0    2.0
  6.00    1.80    0.68   0.64 |    0.0   10.1   89.9 |  100.0   98.0    2.0
